"id","contestant_id","season_id","franchise_id","contestant","hometown","age","rank","link_image"
"F11S06C09","Q259","F11S06","F11","Scarlet Envy","New York City, New York","28","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/43/ScarletEnvyAS6CastMug.png"
"F11S06C10","Q158","F11S06","F11","Serena ChaCha","Fort Lauderdale, Florida","29","13th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a0/SerenaChaChaAS6CastMug.png"
"F11S06C11","Q261","F11S06","F11","Silky Nutmeg Ganache","Los Angeles, California","29","11th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1d/SilkyNutmegGanacheAS6CastMug.png"
"F11S06C12","Q172","F11S06","F11","Trinity K. Bonet","Atlanta, Georgia","29","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/cd/TrinityKBonetAS6CastMug.png"
"F11S06C13","Q132","F11S06","F11","Yara Sofia","Las Vegas, Nevada","36","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/8b/YaraSofiaAS6CastMug.png"
"F12S01C01","Q213","F12S01","F12","Amadiva","Bangkok","24","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/2f/AmadivaDRT1CastMug.png"
"F12S01C02","Q214","F12S01","F12","Année Maywong","Bangkok","30","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/83/Ann%C3%A9eMaywongDRT1CastMug.png"
"F12S01C03","Q215","F12S01","F12","B Ella","Nakhon Ratchasima","30","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/38/BEllaDRT1CastMug.png"
"F12S01C04","Q216","F12S01","F12","Bunny Be Fly","Nakhon Ratchasima","25","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/2c/BunnyBeFlyDRT1CastMug.png"
"F12S01C05","Q217","F12S01","F12","Dearis Doll","Nakhon Pathom","30","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d9/DearisDollDRT1CastMug.png"
"F12S01C06","Q218","F12S01","F12","JAJA","Philippines","34","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f4/JAJADRT1CastMug.png"
"F12S01C07","Q219","F12S01","F12","Meannie Minaj","Phrae","26","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3f/MeannieMinajDRT1CastMug.png"
"F12S01C08","Q220","F12S01","F12","Morrigan","Bangkok","18","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7c/MorriganDRT1CastMug.png"
"F12S01C09","Q221","F12S01","F12","Natalia Pliacam","Bangkok","37","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/40/NataliaPliacamDRT1CastMug.png"
"F12S01C10","Q222","F12S01","F12","Petchra","Rayong","30","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/9b/PetchraDRT1CastMug.png"
"F12S02C01","Q236","F12S02","F12","Angele Anang","Nakhon Ratchasima","24","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a9/AngeleAnangDRT2CastMug.png"
"F12S02C02","Q237","F12S02","F12","Bandit","Phrae","34","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/98/BanditDRT2CastMug.png"
"F12S02C03","Q238","F12S02","F12","Genie","Hong Kong","30","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/96/GenieDRT2CastMug.png"
"F12S02C04","Q239","F12S02","F12","Kana Warrior","Nakhon Sawan","29","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/79/KanaWarriorDRT2CastMug.png"
"F12S02C05","Q240","F12S02","F12","Kandy Zyanide","Chiang Mai","26","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/88/KandyZyanideDRT2CastMug.png"
"F12S02C06","Q241","F12S02","F12","Katy Killer","Bangkok","24","12th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d5/KatyKillerDRT2CastMug.png"
"F12S02C07","Q242","F12S02","F12","M Stranger Fox","Bangkok","33","14th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/78/MStrangerFoxDRT2CastMug.png"
"F12S02C08","Q243","F12S02","F12","Maya B'Haro","Phuket","33","11th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/96/MayaB%27HaroDRT2CastMug.png"
"F12S02C09","Q244","F12S02","F12","Miss Gimhuay","Chonburi","24","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d3/MissGimhuayDRT2CastMug.png"
"F12S02C10","Q245","F12S02","F12","Mocha Diva","Hong Kong","30","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/2b/MochaDivaDRT2CastMug.png"
"F12S02C11","Q246","F12S02","F12","Silver Sonic","Khon Kaen","22","13th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/70/SilverSonicDRT2CastMug.png"
"F12S02C12","Q247","F12S02","F12","Srimala","Udon Thani","29","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/b/b1/SrimalaDRT2CastMug.png"
"F12S02C13","Q248","F12S02","F12","Tormai","Nakhon Si Thammarat","28","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/27/TormaiDRT2CastMug.png"
"F12S02C14","Q249","F12S02","F12","Vanda Miss Joaquim","Singapore","29","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d0/VandaMissJoaquimDRT2CastMug.png"
"F13S01C01","Q264","F13S01","F13","Baga Chipz","East London, England","29","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a4/BagaChipzDRUK1CastMug.jpg"
"F13S01C02","Q265","F13S01","F13","Blu Hydrangea","Belfast, Northern Ireland","23","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/81/BluHydrangeaDRUK1CastMug.jpg"
"F13S01C03","Q266","F13S01","F13","Cheryl Hole","Chelmsford, England","25","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/64/CherylHoleDRUK1CastMug.jpg"
"F13S01C04","Q267","F13S01","F13","Crystal","East London, England","34","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1d/CrystalDRUK1CastMug.jpg"
"F13S01C05","Q268","F13S01","F13","Divina de Campo","Brighouse, England","35","Runner-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e8/DivinaDeCampoDRUK1CastMug.jpg"
"F13S01C06","Q269","F13S01","F13","Gothy Kendoll","Leicester, England","21","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/b/b3/GothyKendollDRUK1CastMug.jpg"
"F13S01C07","Q270","F13S01","F13","Scaredy Kat","Cricklade, England","19","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/26/ScaredyKatDRUK1CastMug.jpg"
"F13S01C08","Q271","F13S01","F13","Sum Ting Wong","Birmingham, England","30","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f1/SumTingWongDRUK1CastMug.jpg"
"F13S01C09","Q272","F13S01","F13","The Vivienne","Liverpool, England","26","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/92/TheVivienneDRUK1CastMug.jpg"
"F13S01C10","Q273","F13S01","F13","Vinegar Strokes","North London, England","34","8th place",""
"F13S02C01","Q323","F13S02","F13","A'Whora","Worksop, England","23","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/21/A%27WhoraDRUK2CastMug.jpg"
"F13S02C02","Q324","F13S02","F13","Asttina Mandella","East London, England","27","11th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e1/AsttinaMandellaDRUK2CastMug.jpg"
"F13S02C03","Q325","F13S02","F13","Bimini Bon-Boulash","Great Yarmouth, England","26","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3c/BiminiBonBoulashDRUK2CastMug.jpg"
"F13S02C04","Q326","F13S02","F13","Cherry Valentine","Darlington, England","26","12th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/8e/CherryValentineDRUK2CastMug.jpg"
"F13S02C05","Q327","F13S02","F13","Ellie Diamond","Dundee, Scotland","21","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/33/EllieDiamondDRUK2CastMug.jpg"
"F13S02C06","Q328","F13S02","F13","Ginny Lemon","Worcester, England","31","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7e/GinnyLemonDRUK2CastMug.jpg"
"F13S02C07","Q329","F13S02","F13","Joe Black","Brighton, England","30","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6b/JoeBlackDRUK2CastMug.jpg"
"F13S02C08","Q330","F13S02","F13","Lawrence Chaney","Glasgow, Scotland","23","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/15/LawrenceChaneyDRUK2CastMug.jpg"
"F13S02C09","Q331","F13S02","F13","Sister Sister","Liverpool, England","31","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/63/SisterSisterDRUK2CastMug.jpg"
"F13S02C10","Q332","F13S02","F13","Tayce","Newport, Wales","25","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/ab/TayceDRUK2CastMug.jpg"
"F13S02C11","Q333","F13S02","F13","Tia Kofi","South London, England","30","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6e/TiaKofiDRUK2CastMug.jpg"
"F13S02C12","Q334","F13S02","F13","Veronica Green","Rochdale, England","34","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/59/VeronicaGreenDRUK2CastMug.jpg"
"F13S03C01","Q355","F13S03","F13","Anubis","Brighton, England","19","12th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/61/AnubisDRUK3CastMug.jpg"
"F13S03C02","Q356","F13S03","F13","Charity Kase","Rufford, England","24","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/4a/CharityKaseDRUK3CastMug.jpg"
"F13S03C03","Q357","F13S03","F13","Choriza May","Newcastle upon Tyne, England","30","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e8/ChorizaMayDRUK3CastMug.jpg"
"F13S03C04","Q358","F13S03","F13","Elektra Fence","Burnley, England","29","11th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/41/ElektraFenceDRUK3CastMug.jpg"
"F13S03C05","Q359","F13S03","F13","Ella Vaday","Dagenham, England","32","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/b/b2/EllaVadayDRUK3CastMug.jpg"
"F13S03C06","Q360","F13S03","F13","Kitty Scott-Claus","Birmingham, England","29","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c0/KittyScottClausDRUK3CastMug.jpg"
"F13S03C07","Q361","F13S03","F13","Krystal Versace","Royal Tunbridge Wells, England","19","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/aa/KrystalVersaceDRUK3CastMug.jpg"
"F13S03C08","Q362","F13S03","F13","River Medway","Medway, England","22","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1d/RiverMedwayDRUK3CastMug.jpg"
"F13S03C09","Q363","F13S03","F13","Scarlett Harlett","East London, England","26","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/64/ScarlettHarlettDRUK3CastMug.jpg"
"F13S03C10","Q364","F13S03","F13","Vanity Milan","South London, England","29","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/22/VanityMilanDRUK3CastMug.jpg"
"F13S03C11","Q334","F13S03","F13","Veronica Green","Rochdale, England","35","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/ab/VeronicaGreenDRUK3CastMug.jpg"
"F13S03C12","Q365","F13S03","F13","Victoria Scone","Cardiff, Wales","27","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3d/VictoriaSconeDRUK3CastMug.jpg"
"F14S01C01","Q288","F14S01","F14","Anastarzia Anaquway","East York, Ontario","37","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/dc/AnastarziaAnaquwayCDR1CastMug.jpg"
"F14S01C02","Q289","F14S01","F14","BOA","Windsor, Ontario","24","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/06/BOACDR1CastMug.jpeg"
"F14S01C03","Q290","F14S01","F14","Ilona Verley","Vancouver, British Columbia","24","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6b/IlonaVerleyCDR1CastMug.jpg"
"F14S01C04","Q291","F14S01","F14","Jimbo","Victoria, British Columbia","36","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a3/JimboCDR1CastMug.jpg"
"F14S01C05","Q292","F14S01","F14","Juice Boxx","Essex, Ontario","31","12th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a7/JuiceBoxxCDR1CastMug.jpg"
"F14S01C06","Q293","F14S01","F14","Kiara","Montreal, Quebec","22","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/87/KiaraCDR1CastMug.jpg"
"F14S01C07","Q294","F14S01","F14","Kyne","Kitchener-Waterloo, Ontario","21","11th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/9a/KyneCDR1CastMug.jpg"
"F14S01C08","Q295","F14S01","F14","Lemon","New York City, New York, United States","23","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/ab/LemonCDR1CastMug.jpg"
"F14S01C09","Q296","F14S01","F14","Priyanka","Toronto, Ontario","28","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a6/PriyankaCDR1CastMug.jpeg"
"F14S01C10","Q297","F14S01","F14","Rita Baga","Montreal, Quebec","32","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/fc/RitaBagaCDR1CastMug.jpeg"
"F14S01C11","Q298","F14S01","F14","Scarlett BoBo","Toronto, Ontario","29","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1a/ScarlettBoBoCDR1CastMug.jpeg"
"F14S01C12","Q299","F14S01","F14","Tynomi Banks","Toronto, Ontario","38","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/c6/TynomiBanksCDR1CastMug.jpeg"
"F15S01C01","Q300","F15S01","F15","Chelsea Boy","Amsterdam, North Holland","26","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/04/ChelseaBoyDRH1CastMug.jpg"
"F15S01C02","Q301","F15S01","F15","Envy Peru","Amsterdam, North Holland","31","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/8c/EnvyPeruDRH1CastMug.jpg"
"F15S01C03","Q302","F15S01","F15","Janey Jacké","Volendam, North Holland","28","Runner-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/05/JaneyJack%C3%A9DRH1CastMug.jpg"
"F15S01C04","Q303","F15S01","F15","Ma'Ma Queen","Rotterdam, South Holland","30","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/9e/Ma%27MaQueenDRH1CastMug.jpg"
"F15S01C05","Q304","F15S01","F15","Madame Madness","Amsterdam, North Holland","23","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/38/MadameMadnessDRH1CastMug.jpg"
"F15S01C06","Q305","F15S01","F15","Megan Schoonbrood","Rotterdam, South Holland","30","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/23/MeganSchoonbroodDRH1CastMug.jpg"
"F15S01C07","Q306","F15S01","F15","Miss Abby OMG","Breda, North Brabant","25","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f7/MissAbbyOMGDRH1CastMug.jpg"
"F15S01C08","Q307","F15S01","F15","Patty Pam-Pam","Amsterdam, North Holland","34","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/cf/PattyPam-PamDRH1CastMug.jpg"
"F15S01C09","Q308","F15S01","F15","Roem","Urk, Flevoland","21","10th Place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/9c/RoemDRH1CastMug.jpg"
"F15S01C10","Q309","F15S01","F15","Sederginne","Antwerp, Flanders, Belgium","26","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d8/SederginneDRH1CastMug.jpg"
"F16S01C01","Q335","F16S01","F16","Anita Wigl'it","Leigh, New Zealand","31","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6b/AnitaWigl%27itDRDU1CastMug.jpg"
"F16S01C02","Q336","F16S01","F16","Art Simone","Melbourne, Australia","28","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/1/1b/ArtSimoneDRDU1CastMug.jpg"
"F16S01C03","Q337","F16S01","F16","Coco Jumbo","Coffs Harbour, Australia","29","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a1/CocoJumboDRDU1CastMug.jpg"
"F16S01C04","Q338","F16S01","F16","Elektra Shock","Auckland, New Zealand","28","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7c/ElektraShockDRDU1CastMug.jpg"
"F16S01C05","Q339","F16S01","F16","Etcetera Etcetera","Canberra, Australia","22","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/9e/EtceteraEtceteraDRDU1CastMug.jpg"
"F16S01C06","Q340","F16S01","F16","Jojo Zaho","Newcastle, Australia","30","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a7/JojoZahoDRDU1CastMug.jpg"
"F16S01C07","Q341","F16S01","F16","Karen from Finance","Melbourne, Australia","32","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/86/KarenFromFinanceDRDU1CastMug.jpg"
"F16S01C08","Q342","F16S01","F16","Kita Mean","Auckland, New Zealand","34","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/69/KitaMeanDRDU1CastMug.jpg"
"F16S01C09","Q343","F16S01","F16","Maxi Shield","Ballina, Australia","46","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e9/MaxiShieldDRDU1CastMug.jpg"
"F16S01C10","Q344","F16S01","F16","Scarlet Adams","Perth, Australia","27","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/ec/ScarletAdamsDRDU1CastMug.jpg"
"F17S01C01","Q345","F17S01","F17","Arantxa Castilla La Mancha","Badajoz, Extremadura","23","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/a/a6/ArantxaCastillaLaManchaDRE1CastMug.jpeg"
"F17S01C02","Q346","F17S01","F17","Carmen Farala","Seville, Andalusia","31","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f2/CarmenFaralaDRE1CastMug.jpeg"
"F17S01C03","Q347","F17S01","F17","Dovima Nurmi","Barcelona, Catalonia","24","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/60/DovimaNurmiDRE1CastMug.jpeg"
"F17S01C04","Q348","F17S01","F17","Drag Vulcano","Las Palmas, Canary Islands","30","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/8a/DragVulcanoDRE1CastMug.jpeg"
"F17S01C05","Q349","F17S01","F17","Hugáceo Crujiente","Valencia, Valencian Community","25","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/88/Hug%C3%A1ceoCrujienteDRE1CastMug.jpeg"
"F17S01C06","Q350","F17S01","F17","Inti","La Paz, Bolivia","20","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/33/IntiDRE1CastMug.jpeg"
"F17S01C07","Q351","F17S01","F17","Killer Queen","Madrid, Community of Madrid","31","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/86/KillerQueenDRE1CastMug.jpeg"
"F17S01C08","Q352","F17S01","F17","Pupi Poisson","Madrid, Community of Madrid","38","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/33/PupiPoissonDRE1CastMug.jpeg"
"F17S01C09","Q353","F17S01","F17","Sagittaria","Barcelona, Catalonia","22","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/60/SagittariaDRE1CastMug.jpeg"
"F17S01C10","Q354","F17S01","F17","The Macarena","San Fernando, Andalusia","29","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7b/TheMacarenaDRE1CastMug.jpeg"
"F17S02C01","Q389","F17S02","F17","Ariel Rec","Madrid, Community of Madrid","33","11th Place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d5/ArielRecDRE2CastMug.jpg"
"F17S02C02","Q390","F17S02","F17","Diamante Merybrown","Santiago, Dominican Republic","25","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/01/DiamanteMerybrownDRE2CastMug.jpg"
"F17S02C03","Q391","F17S02","F17","Drag Sethlas","Las Palmas, Canary Islands","30","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/94/DragSethlasDRE2CastMug.jpg"
"F17S02C04","Q392","F17S02","F17","Estrella Xtravaganza","Jerez de la Frontera, Andalusia","25","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/90/EstrellaXtravaganzaDRE2CastMug.jpg"
"F17S02C05","Q393","F17S02","F17","Jota Carajota","Jerez de la Frontera, Andalusia","18","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/cb/JotaCarajotaDRE2CastMug.jpg"
"F17S02C06","Q394","F17S02","F17","Juriji Der Klee","Brussels, Belgium","31","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/38/JurijiDerKleeDRE2CastMug.jpg"
"F17S02C07","Q395","F17S02","F17","Marina","Barcelona, Catalonia","34","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/ee/MarinaDRE2CastMug.jpg"
"F17S02C08","Q396","F17S02","F17","Marisa Prisa","Lugo, Galicia","28","12th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3c/MarisaPrisaDRE2CastMug.jpg"
"F17S02C09","Q397","F17S02","F17","Onyx","Madrid, Community of Madrid","33","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/55/OnyxDRE2CastMug.jpg"
"F17S02C10","Q398","F17S02","F17","Samantha Ballentines","San Fernando, Andalusia","35","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/44/SamanthaBallentinesDRE2CastMug.jpg"
"F17S02C11","Q399","F17S02","F17","Sharonne","Barcelona, Catalonia","45","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/ca/SharonneDRE2CastMug.jpg"
"F17S02C12","Q400","F17S02","F17","Venedita Von Däsh","Elche, Valencian Community","30","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/83/VeneditaVonD%C3%A4shDRE2CastMug.jpg"
"F18S01C01","Q366","F18S01","F18","Ava Hangar","Carbonia, Sardinia","36","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/0a/AvaHangarDRI1CastMug.jpg"
"F18S01C02","Q367","F18S01","F18","Divinity","Naples, Campania","27","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/78/DivinityDRI1CastMug.jpg"
"F18S01C03","Q368","F18S01","F18","Elecktra Bionic","Turin, Piedmont","27","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5a/ElecktraBionicDRI1CastMug.jpg"
"F18S01C04","Q369","F18S01","F18","Enorma Jean","Milan, Lombardy","46","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/86/EnormaJeanDRI1CastMug.jpg"
"F18S01C05","Q370","F18S01","F18","Farida Kant","Lecce, Apulia","33","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/fb/FaridaKantDRI1CastMug.jpg"
"F18S01C06","Q371","F18S01","F18","Ivana Vamp","Arezzo, Tuscany","32","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f7/IvanaVampDRI1CastMug.jpg"
"F18S01C07","Q372","F18S01","F18","Le Riche","Palermo, Sicily","35","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/88/LeRicheDRI1CastMug.jpg"
"F18S01C08","Q373","F18S01","F18","Luquisha Lubamba","Bologna, Emilia-Romagna","33","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/98/LuquishaLubambaDRI1CastMug.jpg"
"F19S01C01","Q264","F19S01","F19","Baga Chipz","London, United Kingdom","31","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/96/BagaChipzUKvsTWCastMug.jpeg"
"F19S01C02","Q265","F19S01","F19","Blu Hydrangea","Belfast, United Kingdom","25","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/06/BluHydrangeaUKvsTWCastMug.jpeg"
"F19S01C03","Q266","F19S01","F19","Cheryl Hole","Chelmsford, United Kingdom","27","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/b/bc/CherylHoleUKvsTWCastMug.jpeg"
"F19S01C04","Q302","F19S01","F19","Janey Jacké","Volendam, Netherlands","29","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5c/JaneyJack%C3%A9UKvsTWCastMug.jpeg"
"F19S01C05","Q291","F19S01","F19","Jimbo","Victoria, Canada","37","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/27/JimboUKvsTWCastMug.jpeg"
"F19S01C06","Q110","F19S01","F19","Jujubee","Boston, United States","36","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/9/9b/JujubeeUKvsTWCastMug.jpeg"
"F19S01C07","Q295","F19S01","F19","Lemon","New York City, United States","25","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6a/LemonUKvsTWCastMug.jpeg"
"F19S01C08","Q231","F19S01","F19","Mo Heart","Kansas City, United States","34","Runner-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/c/ca/MoHeartUKvsTWCastMug.jpeg"
"F19S01C09","Q388","F19S01","F19","Pangina Heals","Bangkok, Thailand","32","6th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/fa/PanginaHealsUKvsTWCastMug.jpeg"
