"id","contestant_id","season_id","franchise_id","contestant","hometown","age","rank","link_image"
"F10S11C08","Q257","F10S11","F10","Plastique Tiara","Dallas, Texas","21","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/4/44/PlastiqueTiaraS11CastMug.jpg"
"F10S11C09","Q258","F10S11","F10","Ra'Jah O'Hara","Dallas, Texas","33","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/f/f8/Ra%27JahO%27HaraS11CastMug.jpg"
"F10S11C10","Q259","F10S11","F10","Scarlet Envy","New York City, New York","26","10th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3b/ScarletEnvyS11CastMug.jpg"
"F10S11C11","Q260","F10S11","F10","Shuga Cain","New York City, New York","40","7th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d5/ShugaCainS11CastMug.jpg"
"F10S11C12","Q261","F10S11","F10","Silky Nutmeg Ganache","Chicago, Illinois","28","3rd place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/5e/SilkyNutmegGanacheS11CastMug.jpg"
"F10S11C13","Q262","F10S11","F10","Soju","Chicago, Illinois","27","15th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/0/02/SojuS11CastMug.jpg"
"F10S11C14","Q234","F10S11","F10","Vanessa Vanjie Mateo","Los Angeles, California","26","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e8/VanessaVanjieMateoS11CastMug.jpg"
"F10S11C15","Q263","F10S11","F10","Yvie Oddly","Denver, Colorado","24","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3c/YvieOddlyS11CastMug.jpg"
"F10S12C01","Q274","F10S12","F10","Aiden Zhane","Acworth, Georgia","29","9th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/2/26/AidenZhaneS12CastMug.png"
"F10S12C02","Q275","F10S12","F10","Brita","New York City, New York","34","8th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/3/3e/BritaS12CastMug.png"
"F10S12C03","Q276","F10S12","F10","Crystal Methyd","Springfield, Missouri","28","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/d/d8/CrystalMethydS12CastMug.png"
"F10S12C04","Q277","F10S12","F10","Dahlia Sin","New York City, New York","28","12th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/6/6a/DahliaSinS12CastMug.png"
"F10S12C05","Q278","F10S12","F10","Gigi Goode","Los Angeles, California","21","Runners-up","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/b/b8/GigiGoodeS12CastMug.png"
"F10S12C06","Q279","F10S12","F10","Heidi N Closet","Ramseur, North Carolina","24","5th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/5/56/HeidiNClosetS12CastMug.png"
"F10S12C07","Q280","F10S12","F10","Jackie Cox","New York City, New York","34","4th place","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/e/e7/JackieCoxS12CastMug.png"
"F10S12C08","Q281","F10S12","F10","Jaida Essence Hall","Milwaukee, Wisconsin","32","Winner","https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/8e/JaidaEssenceHallS12CastMug.png"
